,,abiotic,abiotic,abiotic,abiotic,abiotic,allelopathy,allelopathy,allelopathy,allelopathy,allelopathy,allelopathy,allelopathy,allelopathy,allelopathy,allelopathy,allelopathy,pharmaco,pharmaco,pharmaco,pharmaco,pharmaco,pharmaco,pharmaco,pharmaco,pharmaco,pharmaco,pharmaco,pharmaco,pharmaco,pharmaco,pharmaco,pharmaco,toxicity
,,antioxidant,drought,metal,uv,salt,antifeedant,arbuscula,attractant,germination,herbicidal,hppd,hyphal,phytotoxicity,quorum sensing,repulsive,toxicant,antidiabetic,cardiovascular,obesity,rheumatism,antibacterial,antifungal,antimicrobial,antiparasitic,antiviral,anti-inflammatory,arthritis,burns,wound,anticancer,cytotoxicity,sedative,toxicity
phenolic compound,stilbene,2475,5,203,164,126,3,0,0,24,0,0,1,7,12,1,0,121,268,239,0,153,151,125,10,120,709,53,12,92,111,1092,2,283
phenolic compound,tannin,5276,48,918,214,191,8,0,0,162,0,0,0,41,28,2,4,759,156,133,1,2157,812,1607,47,292,689,114,78,415,150,1231,44,1556
phenolic compound,xanthone,481,0,39,24,21,0,0,0,7,1,0,0,2,8,0,1,82,34,30,0,241,141,146,2,76,153,28,3,43,66,669,2,143
polyketide,acetogenin,20,1,5,1,4,0,0,0,3,1,0,0,2,1,0,0,2,2,1,0,23,13,9,5,6,7,0,0,2,6,228,0,34
polyketide,ansamycin,4,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,21,9,24,0,10,3,2,1,2,3,40,0,17
polyketide,macrolide,71,3,151,31,76,0,0,10,20,2,0,0,13,52,1,0,102,335,111,0,1171,1085,2290,160,205,260,212,40,240,68,779,51,676
polyketide,polyene,74,1,94,41,48,0,0,4,10,1,0,0,4,5,2,2,1,18,8,0,62,909,91,4,26,23,13,8,15,6,125,1,146
polyketide,polyether,25,1,392,62,161,0,0,0,3,0,0,0,1,0,2,1,0,20,3,0,92,15,39,7,7,11,2,6,39,13,137,1,64
polyketide,tetracycline,466,14,1354,207,741,0,0,0,65,1,0,2,49,184,1,0,265,403,183,3,3261,1200,6811,75,172,429,927,371,1832,42,834,127,1897
terpenoid/terpene,diterpene,427,5,34,29,50,26,0,3,39,5,0,0,33,13,0,1,72,56,36,1,394,230,274,11,211,556,72,5,68,73,1376,8,308
terpenoid/terpene,hemiterpene,29,24,29,6,4,0,0,0,2,0,1,0,2,0,0,0,1,1,3,0,8,3,4,2,4,5,4,0,1,0,31,0,18
terpenoid/terpene,monoterpene,188,50,15,9,12,6,1,13,30,5,0,0,31,4,0,0,8,5,3,1,103,85,119,4,15,56,4,1,12,12,125,3,112
terpenoid/terpene,norisoprenoid,18,1,4,5,2,0,0,3,1,0,0,0,2,0,0,0,1,0,0,0,7,5,4,0,2,14,0,0,0,1,22,1,2
terpenoid/terpene,polyterpene,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2
terpenoid/terpene,sesquiterpene,863,17,72,39,59,60,5,31,130,21,0,5,105,22,0,0,98,38,49,0,801,690,708,44,234,746,55,10,124,114,2037,30,341
terpenoid/terpene,sesterterpene,7,0,0,0,3,2,0,0,1,0,0,0,0,0,0,0,0,0,1,0,30,18,20,0,4,28,1,0,2,6,113,1,12
terpenoid/terpene,tetraterpene/carotenoid/xanthophyll,7587,345,592,392,513,0,0,3,309,9,4,4,228,18,0,2,125,504,418,1,187,101,207,5,58,340,53,14,97,51,471,3,828
terpenoid/terpene,triterpene,1157,3,51,46,59,32,0,0,32,2,0,6,16,14,1,1,316,81,127,2,490,337,361,29,301,947,134,23,203,142,2109,22,413
