;;*;*;*;*;*;*;*;*;*;*;*;allelopathy;allelopathy;allelopathy;allelopathy;allelopathy;allelopathy;allelopathy;allelopathy;allelopathy;allelopathy;allelopathy;allelopathy;chronic disease;chronic disease;chronic disease;chronic disease;infection;infection;infection;infection;infection;inflammation;inflammation;inflammation;inflammation;neoplasm;neoplasm;toxicity / intoxication;toxicity / intoxication
;;allelopathy;allergy;antioxidant;antipyretic;chronic disease;diuretic;infection;inflammation;neoplasm;stimulant;toxicity / intoxication;antifeedant;arbuscula development;attractant;germination;herbicidal;hppd inhibitor;hyphal branching;hyphal growth;phytotoxicity;quorum sensing;repulsive;toxicant;antidiabetic;cardiovascular;obesity;rheumatism;antibacterial;antifungal;antimicrobial;antiparasitic;antiviral;anti-inflammatory;arthritis;burns;wound;anticancer;cytotoxicity;sedative;toxicity
alkaloid;tropane;5;8;21;1;123;3;41;21;43;31;112;0;0;0;3;0;0;0;0;4;1;0;0;7;47;9;0;4;2;3;1;16;10;5;1;5;2;30;4;70
phenolic compound;acetophenone;1;20;469;9;35;7;72;238;231;4;163;2;0;9;14;3;0;0;0;4;12;0;2;27;60;30;0;244;211;189;1;53;205;25;7;23;27;265;4;143
phenolic compound;anthraquinone;9;42;670;21;59;33;200;238;774;5;796;3;0;0;19;4;0;0;1;33;11;2;1;131;53;47;0;526;285;379;8;109;320;54;8;77;101;947;9;713
phenolic compound;biflavonoids;1;5;390;1;6;1;20;77;149;1;34;0;0;0;3;0;0;0;0;0;0;0;0;26;27;22;0;39;14;22;0;52;85;4;0;8;7;141;1;32
phenolic compound;flavonoids;107;220;24625;208;571;193;1169;3116;3873;46;3069;37;0;3;483;8;0;0;3;138;93;2;6;1820;1124;716;8;3740;1596;3122;73;924;3290;404;75;847;653;5156;115;2971
phenolic compound;isoflavanoids;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0
phenolic compound;lignans;5;27;739;2;34;5;54;360;677;3;143;5;0;0;20;1;0;0;1;13;0;0;0;47;85;61;0;102;97;67;13;147;422;-1;2;33;48;727;10;134
phenolic compound;naphthoquinone;16;69;364;8;22;8;196;177;877;1;339;3;0;0;17;3;0;0;0;11;4;0;0;25;26;18;0;292;299;203;41;106;206;18;9;67;128;1103;5;310
phenolic compound;phenol;141;377;26901;118;561;147;1542;1940;3009;44;6880;15;0;17;752;17;0;0;3;397;126;22;68;1205;788;639;4;3676;1940;3459;67;528;2107;211;205;771;633;4830;86;6443
phenolic compound;phenolic acid;178;14;8670;11;51;13;96;219;159;1;425;8;0;2;287;1;0;0;1;93;12;2;1;206;88;65;0;540;275;697;4;59;420;19;6;74;77;602;7;417
