"Compound","Ap","Ft","Da","Db","Dg","Dl","Rc","Rm","Ps","Pn","Pl"
"trans-Totarol",0,0,0,0,0,0,0,0.816,0,0,0
"Isopimara-9(11),15-diene",0,0.0264,0,0,0,0.024,0.0405,0,0,0,0
"13-Isopimaradiene",0.5418,0.0968,0,0,0,0.12,0,0.0012,0,0,0
"Sandaracopimarinal",0,0,0,0,0,0,0.0243,0.036,0,0,0
"Sandaracopimarinol",0,0.1848,0,0,0,0,0,0,0,0,0
"Sandaracopimara-8(14),15-diene",0,0,0,0,0,0,0,0,0.202,0.8532,0.0405
"Dolabadriene <13-epi>",0,0,0,0,0,0,0,0,0.2056,0,0.0765
"Kaurene",3.2121,0.0176,0,0,0,0,0,0,2.8048,1.3806,3.5425
"Sclarene",0,0,0,0,1.438,0,0,0,0,0,0
"Manool oxide",0,0,0,0,0.0719,0,0.0162,0,0,0.0198,0
"Phyllocladene",11.3778,5.764,0,0,0.1438,1.92,6.0507,0,0.1628,13.5756,0
"Phyllocladanol",1.4706,0.0264,0,0,0,0,0.2835,0,0,0.3816,0
"Pimaradiene",1.548,0.4664,0,0,0,0.096,0.2268,0,0.0236,0.6264,0.0195
"Rimuene",0,0,0,0,0,9.984,0,0,0,0,0
"Rosa-5,15-diene",0.1935,0,0,0,5.033,0,0,0,0.068,0.2178,0
